stationname,parameter,date,hour,conc
Congonhas,CO,2020-04-01,1,0.3
Congonhas,CO,2020-04-01,2,0.3
Congonhas,CO,2020-04-01,3,0.3
Congonhas,CO,2020-04-01,4,0.2
Congonhas,CO,2020-04-01,5,0.3
Congonhas,CO,2020-04-01,6,0.6
Congonhas,CO,2020-04-01,7,0.7
Congonhas,CO,2020-04-01,8,0.5
Congonhas,CO,2020-04-01,9,0.4
Congonhas,CO,2020-04-01,10,0.5
Congonhas,CO,2020-04-01,11,0.4
Congonhas,CO,2020-04-01,12,0.4
Congonhas,CO,2020-04-01,13,0.4
Congonhas,CO,2020-04-01,14,0.3
Congonhas,CO,2020-04-01,15,0.5
Congonhas,CO,2020-04-01,16,0.5
Congonhas,CO,2020-04-01,17,0.5
Congonhas,CO,2020-04-01,18,0.6
Congonhas,CO,2020-04-01,19,0.7
Congonhas,CO,2020-04-01,20,0.5
Congonhas,CO,2020-04-01,21,0.3
Congonhas,CO,2020-04-01,22,0.3
Congonhas,CO,2020-04-01,23,0.3
Congonhas,CO,2020-04-01,24,0.2
Congonhas,CO,2020-04-02,1,0.2
Congonhas,CO,2020-04-02,2,0.1
Congonhas,CO,2020-04-02,3,0.2
Congonhas,CO,2020-04-02,4,0.2
Congonhas,CO,2020-04-02,5,0.2
Congonhas,CO,2020-04-02,6,0.3
Congonhas,CO,2020-04-02,7,0.3
Congonhas,CO,2020-04-02,8,0.4
Congonhas,CO,2020-04-02,9,0.5
Congonhas,CO,2020-04-02,10,0.6
Congonhas,CO,2020-04-02,11,0.4
Congonhas,CO,2020-04-02,12,0.4
Congonhas,CO,2020-04-02,13,0.6
Congonhas,CO,2020-04-02,14,0.6
Congonhas,CO,2020-04-02,15,0.6
Congonhas,CO,2020-04-02,16,0.7
Congonhas,CO,2020-04-02,17,0.5
Congonhas,CO,2020-04-02,18,0.8
Congonhas,CO,2020-04-02,19,0.7
Congonhas,CO,2020-04-02,20,0.8
Congonhas,CO,2020-04-02,21,0.9
Congonhas,CO,2020-04-02,22,0.8
Congonhas,CO,2020-04-02,23,0.9
Congonhas,CO,2020-04-02,24,0.6
Congonhas,CO,2020-04-03,1,0.4
Congonhas,CO,2020-04-03,2,0.3
Congonhas,CO,2020-04-03,3,0.3
Congonhas,CO,2020-04-03,4,0.3
Congonhas,CO,2020-04-03,5,0.3
Congonhas,CO,2020-04-03,6,0.5
Congonhas,CO,2020-04-03,7,0.7
Congonhas,CO,2020-04-03,8,0.7
Congonhas,CO,2020-04-03,9,0.7
Congonhas,CO,2020-04-03,10,0.6
Congonhas,CO,2020-04-03,11,0.7
Congonhas,CO,2020-04-03,12,0.8
Congonhas,CO,2020-04-03,13,0.6
Congonhas,CO,2020-04-03,14,0.7
Congonhas,CO,2020-04-03,15,0.7
Congonhas,CO,2020-04-03,16,0.6
Congonhas,CO,2020-04-03,17,0.6
Congonhas,CO,2020-04-03,18,0.5
Congonhas,CO,2020-04-03,19,0.5
Congonhas,CO,2020-04-03,20,0.5
Congonhas,CO,2020-04-03,21,0.4
Congonhas,CO,2020-04-03,22,0.5
Congonhas,CO,2020-04-03,23,0.4
Congonhas,CO,2020-04-03,24,0.3
Congonhas,CO,2020-04-04,1,0.2
Congonhas,CO,2020-04-04,2,0.2
Congonhas,CO,2020-04-04,3,0.2
Congonhas,CO,2020-04-04,4,0.1
Congonhas,CO,2020-04-04,5,0.2
Congonhas,CO,2020-04-04,6,0.4
Congonhas,CO,2020-04-04,7,0.4
Congonhas,CO,2020-04-04,8,0.4
Congonhas,CO,2020-04-04,9,0.3
Congonhas,CO,2020-04-04,10,0.3
Congonhas,CO,2020-04-04,11,0.3
Congonhas,CO,2020-04-04,12,0.3
Congonhas,CO,2020-04-04,13,0.4
Congonhas,CO,2020-04-04,14,0.4
Congonhas,CO,2020-04-04,15,0.5
Congonhas,CO,2020-04-04,16,0.4
Congonhas,CO,2020-04-04,17,0.4
Congonhas,CO,2020-04-04,18,0.4
Congonhas,CO,2020-04-04,19,0.4
Congonhas,CO,2020-04-04,20,0.4
Congonhas,CO,2020-04-04,21,0.4
Congonhas,CO,2020-04-04,22,0.4
Congonhas,CO,2020-04-04,23,0.4
Congonhas,CO,2020-04-04,24,0.2
Congonhas,CO,2020-04-05,1,0.2
Congonhas,CO,2020-04-05,2,0.2
Congonhas,CO,2020-04-05,3,0.2
Congonhas,CO,2020-04-05,4,0.2
Congonhas,CO,2020-04-05,5,0.2
Congonhas,CO,2020-04-05,6,0.3
Congonhas,CO,2020-04-05,7,0.2
Congonhas,CO,2020-04-05,8,0.2
Congonhas,CO,2020-04-05,9,0.2
Congonhas,CO,2020-04-05,10,0.2
Congonhas,CO,2020-04-05,11,0.2
Congonhas,CO,2020-04-05,12,0.3
Congonhas,CO,2020-04-05,13,0.3
